ID number,Chart Date ,Latitude,Longitude,Category,Pressure
2021202232,2022013006,43.5,-169.3,HF,963
2021202232,2022013012,46.7,-168.8,HF,967
2021202232,2022013018,49.6,-169.8,S,968
2021202233,2022020106,41.5,-179.6,DHF,963
2021202233,2022020112,42.7,-177.8,HF,954
2021202233,2022020118,44.6,-175.4,HF,950
2021202233,2022020200,47.5,-175.2,HF,947
2021202233,2022020206,49.7,-175.7,S,946
2021202234,2022020306,37.8,-179.3,DHF,977
2021202234,2022020312,40.6,-175.7,HF,970
2021202234,2022020318,43.3,-172.2,HF,963
2021202234,2022020400,45.8,-169.6,HF,961
2021202234,2022020406,48.7,-167.3,HF,963
2021202234,2022020412,50.4,-165.3,S,968
2021202235,2022020600,39.8,169,DHF,970
2021202235,2022020606,40.7,173.8,HF,970
2021202235,2022020612,41.4,178.3,HF,971
2021202235,2022020618,42.7,-178.4,HF,970
2021202235,2022020700,44.5,-174.3,S,970
2021202236,2022020812,42.1,-167.7,DHF,973
2021202236,2022020818,42.3,-165,HF,970
2021202236,2022020900,47.9,-160.7,S,975
2021202237,2022021218,38.1,177.8,DHF,956
2021202237,2022021300,38.9,173.3,HF,951
2021202237,2022021306,40.3,175.4,HF,944
2021202237,2022021312,42.5,176.8,HF,946
2021202237,2022021318,44.5,176.9,S,945
2021202238,2022021506,38.2,168.5,DHF,977
2021202238,2022021512,40.1,172.3,HF,968
2021202238,2022021518,42.3,176.3,HF,961
2021202238,2022021600,45,178.7,HF,962
2021202238,2022021606,47.4,179.3,HF,964
2021202238,2022021612,49.2,179.8,S,963
2021202239,2022021918,38.9,-179.7,DS,1000
2021202239,2022022000,43.2,-176.3,HF,989
2021202239,2022022006,45.03,-174.6,S,987
2021202240,2022022100,45,149,DHF,953
2021202240,2022022106,44.9,150.8,HF,951
2021202240,2022022112,44.9,153.6,HF,952
2021202240,2022022118,45,154.7,S,956
2021202241,2022031118,36.2,179,DHF,987
2021202241,2022031200,38.6,-176.3,HF,979
2021202241,2022031206,41.3,-171.7,HF,967
2021202241,2022031212,43.4,-167.8,HF,960
2021202241,2022031218,44.9,-164,HF,957
2021202241,2022031300,46.3,-160.6,HF,957
2021202241,2022031306,48.3,-155.4,S,957
2021202242,2022031818,40.5,-176.8,DHF,973
2021202242,2022031900,42.3,-176.9,HF,968
2021202242,2022031906,42.2,-176.5,HF,970
2021202242,2022031912,41.5,-175.4,S,973
2021202243,2022040312,50,-156.3,DHF,982
2021202243,2022040318,50.3,-149.8,HF,976
2021202243,2022040400,50.5,-144.1,S,977
2021202244,2022042918,37.7,146.8,DHF,982
2021202244,2022043000,38.5,150.4,HF,974
2021202244,2022043006,40.6,155.3,HF,965
2021202244,2022043012,42.9,159.7,HF,960
2021202244,2022043018,44.7,163.7,HF,960
2021202244,2022050100,45.9,167.4,S,968
